guid,Location,MacroLocation,City,County,Region,BoW,tags
kXA$UYm4~W,North East,,,,North East,,Region England
soAlWB6AiG,Yorkshire and the Humber,,,,Yorkshire and the Humber,,Region England
q3D];]_HO[,North West,,,,North West,,Region England
c!1jUC1pH,West Midlands,,,,West Midlands,,Region England
rXO2BadWkU,East Midlands,,,,East Midlands,,Region England
h*5bdJ##dr,East of England,,,,East of England,,Region England
dHMXAsPRYM,South East,,,,South East,,Region England
uJf(>TMHlq,South West,,,,South West,,Region England
sV?}]HhjQ$,London,,,,London,,Region England
vB4e5@BQ7s,Wales,,,,Wales,,Region Wales
kkV6M8qb:/,Northern Ireland,,,,Northern Ireland,,Region NorthernIreland
seLD;o#bZz,Scotland,,,,Scotland,,Region Scotland
j(<7zoD:[E,Northumberland,North East,,Northumberland,,,County England
d2^85Uh!++,Tyne and Wear,North East,,Tyne and Wear,,,County England
TP{3cDxp#,County Durham,North East,,County Durham,,,County England
ujWwfrMGn},North Yorkshire,Yorkshire and the Humber,,North Yorkshire,,,County England
tJjR!`8{&k,East Riding of Yorkshire,Yorkshire and the Humber,,East Riding of Yorkshire,,,County England
kIfER~x`?[,South Yorkshire,Yorkshire and the Humber,,South Yorkshire,,,County England
q?9EsNCeO_,West Yorkshire,Yorkshire and the Humber,,West Yorkshire,,,County England
dJ(V;rqihR,Lancashire,North West,,Lancashire,,,County England
j>Nv&|XB?I,Greater Manchester,North West,,Greater Manchester,,,County England
nk7<>-ed_H,Merseyside,North West,,Merseyside,,,County England
"i8G9:9M+%,",Cumbria,North West,,Cumbria,,,County England
tzp}6n}-wO,Cheshire,North West,,Cheshire,,,County England
fsix*y3#_z,Herefordshire,West Midlands,,Herefordshire,,,County England
o}1<m#9p/a,Shropshire,West Midlands,,Shropshire,,,County England
oJ^3QlKX6.,Staffordshire,West Midlands,,Staffordshire,,,County England
ocD.-@Sg4_,West Midlands (county),West Midlands,,West Midlands (county),,,County England
fVJRT<LuH,Worcestershire,West Midlands,,Worcestershire,,,County England
l=d;(k=<.5,Warwickshire,West Midlands,,Warwickshire,,,County England
k=#RU$T?)T,Nottinghamshire,East Midlands,,Nottinghamshire,,,County England
es7J2UPObN,Lincolnshire,East Midlands,,Lincolnshire,,,County England
oolQ33e==x,Leicestershire,East Midlands,,Leicestershire,,,County England
n8K[Y$ykA0,Rutland,East Midlands,,Rutland,,,County England
i-:MNVF(o$,Northamptonshire,East Midlands,,Northamptonshire,,,County England
pa*U<`u1zr,Derbyshire,East Midlands,,Derbyshire,,,County England
i-ej5DruGj,Cambridgeshire,East of England,,Cambridgeshire,,,County England
@>AB`0-V:,Norfolk,East of England,,Norfolk,,,County England
ot]u`/Woy-,Suffolk,East of England,,Suffolk,,,County England
qQ-AY^Pw^!,Essex,East of England,,Essex,,,County England
jr}d4-lUwp,Hertfordshire,East of England,,Hertfordshire,,,County England
cr#9W^heW@,Bedfordshire,East of England,,Bedfordshire,,,County England
uGgjQ_Bh9),Buckinghamshire,South East,,Buckinghamshire,,,County England
|W?uk]gYh,Berkshire,South East,,Berkshire,,,County England
q`!CDi;Wlz,Surrey,South East,,Surrey,,,County England
nshj+EZN<X,West Sussex,South East,,West Sussex,,,County England
hPdV6<Tq}J,Kent,South East,,Kent,,,County England
f3bgF1)lHj,East Sussex,South East,,East Sussex,,,County England
ch=z-@zFvi,Hampshire,South East,,Hampshire,,,County England
c?O:4<%SEs,Oxfordshire,South East,,Oxfordshire,,,County England
"gsfy|G?,=N",Isle of Wight,South East,,Isle of Wight,,,County England
viW8:0tA)A,Gloucestershire,South West,,Gloucestershire,,,County England
i8GKT5kJLm,Wiltshire,South West,,Wiltshire,,,County England
g#>Vs%yRK*,Somerset,South West,,Somerset,,,County England
iCp*(T(B1V,Bristol,South West,,Bristol,,,County England
l04U`0l[H4,Dorset,South West,,Dorset,,,County England
c|W6Rp*[G`,Devon,South West,,Devon,,,County England
pj$C=aV9=s,Cornwall,South West,,Cornwall,,,County England
ecAaOp*}`@,City of London,London,,City of London,,,County England
r;cR3shk^w,Greater London,London,,Greater London,,,County England
iwUzS8.*%5,Gwynedd,Wales,,Gwynedd,,,County Wales
gZjWafV})@,Clwyd,Wales,,Clwyd,,,County Wales
"nQ[Y>PV+,Y",Powys,Wales,,Powys,,,County Wales
pdC>zX[L81,Dyfed,Wales,,Dyfed,,,County Wales
piKj9G}]&k,West Glamorgan,Wales,,West Glamorgan,,,County Wales
kJs7Dh_ji5,Mid Glamorgan,Wales,,Mid Glamorgan,,,County Wales
l/^Nf2/&@G,South Glamorgan,Wales,,South Glamorgan,,,County Wales
s|}?QZ[k@-,Gwent (county),Wales,,Gwent (county),,,County Wales
ew/jnMQU(A,County Armagh,Northern Ireland,,County Armagh,,,County NorthernIreland
ewfQ@(3Nu{,County Down,Northern Ireland,,County Down,,,County NorthernIreland
cmIlx?2~e],County Antrim,Northern Ireland,,County Antrim,,,County NorthernIreland
ll1$wMfo0R,County Londonderry,Northern Ireland,,County Londonderry,,,County NorthernIreland
o<|AL}@8la,County Tyrone,Northern Ireland,,County Tyrone,,,County NorthernIreland
rOQ!UB0y>D,County Fermanagh,Northern Ireland,,County Fermanagh,,,County NorthernIreland
gc+[o)<nd9,Aberdeenshire,Scotland,,Aberdeenshire,,,County Scotland
"b?s,I3nkjs",Aberdeen City,Scotland,,Aberdeen City,,,County Scotland
n?]jo!KuD!,Angus,Scotland,,Angus,,,County Scotland
nhryF6Y|Nn,Argyll and Bute,Scotland,,Argyll and Bute,,,County Scotland
vwUN1My*8`,City of Edinburgh,Scotland,,City of Edinburgh,,,County Scotland
o|4!{v(sjQ,Clackmannanshire,Scotland,,Clackmannanshire,,,County Scotland
j_0JSAd[{X,Dumfries and Galloway,Scotland,,Dumfries and Galloway,,,County Scotland
cI(yG[UV6+,Dundee City,Scotland,,Dundee City,,,County Scotland
f.3jN>vZOz,East Ayrshire,Scotland,,East Ayrshire,,,County Scotland
g&J3S/6+=,East Dunbartonshire,Scotland,,East Dunbartonshire,,,County Scotland
jCaXK;CF+$,East Lothian,Scotland,,East Lothian,,,County Scotland
kwN{.37rt9,East Renfrewshire,Scotland,,East Renfrewshire,,,County Scotland
t:]`?5nvU~,Falkirk,Scotland,,Falkirk,,,County Scotland
us7ko?ei3?,Fife,Scotland,,Fife,,,County Scotland
e(HD^<?l)@,Glasgow City,Scotland,,Glasgow City,,,County Scotland
"jZnab,3sOY",Highland (council area),Scotland,,Highland (council area),,,County Scotland
r4;[Sh]EF!,Inverclyde,Scotland,,Inverclyde,,,County Scotland
h.Li5qbYui,Midlothian,Scotland,,Midlothian,,,County Scotland
5R|=WK9o?,Moray,Scotland,,Moray,,,County Scotland
b3u:?Llg[<,Outer Hebrides,Scotland,,Outer Hebrides,,,County Scotland
d-+0v)w[%T,North Ayrshire,Scotland,,North Ayrshire,,,County Scotland
l*ddcop?$R,North Lanarkshire,Scotland,,North Lanarkshire,,,County Scotland
l^Jn:_yCU:,Orkney Islands,Scotland,,Orkney Islands,,,County Scotland
roGvWmi9Zu,Perth and Kinross,Scotland,,Perth and Kinross,,,County Scotland
s?{:?jfg$#,Renfrewshire,Scotland,,Renfrewshire,,,County Scotland
qW)SXY]P)%,Scottish Borders,Scotland,,Scottish Borders,,,County Scotland
tA_My|(i]j,Shetland Islands,Scotland,,Shetland Islands,,,County Scotland
pj9#NP[[rI,South Ayrshire,Scotland,,South Ayrshire,,,County Scotland
dR0t%kJ!/1,South Lanarkshire,Scotland,,South Lanarkshire,,,County Scotland
m?e%q4O$t,Stirling (council area),Scotland,,Stirling (council area),,,County Scotland
u*g]uFy?u*,West Dunbartonshire,Scotland,,West Dunbartonshire,,,County Scotland
"r$+eTUXIi,",West Lothian,Scotland,,West Lothian,,,County Scotland
qsKXj1a|H(,Atlantic Ocean,,,,,Atlantic Ocean,BoW
g[#YWbMOQQ,The Wash,,,,,The Wash,BoW
sMW<De*bjy,Bristol Channel,,,,,Bristol Channel,BoW
q.z%;xQ]*~,Strait of Dover,,,,,Strait of Dover,BoW
rj6w}9B[o#,Firth of Forth,,,,,Firth of Forth,BoW
nndtoqWG+X,Thames Estuary,,,,,Thames Estuary,BoW
eX6OEq(.cB,North Sea,,,,,North Sea,BoW
jr]eDX^HMo,The Humber,,,,,The Humber,BoW
n`w_gw7=_=,Solway Firth,,,,,Solway Firth,BoW
lQ4Dl1dxj),English Channel,,,,,English Channel,BoW
rQx2qsJQA%,Firth of Clyde,,,,,Firth of Clyde,BoW
dt40@_Aw:n,North Channel,,,,,North Channel,BoW
kAjM*}rEq(,St Georges Channel,,,,,St Georges Channel,BoW
f(&G*$#yfm,Irish Sea,,,,,Irish Sea,BoW
fgJe*B?_p*,Celtic Sea,,,,,Celtic Sea,BoW
b?frtFOh5D,Bath,Somerset,Bath,,,,City England
pWYcEIciln,Birmingham,West Midlands (county),Birmingham,,,,City England
iq8>+5H[g0,Bradford,West Yorkshire,Bradford,,,,City England
ususBUnG^|,Brighton and Hove,East Sussex,Brighton and Hove,,,,City England
"uaO,1m,h1p",Bristol,Bristol,Bristol,,,,City England
hd_+MUzt4|,Cambridge,Cambridgeshire,Cambridge,,,,City England
dw/fRzm7c8,Canterbury,Kent,Canterbury,,,,City England
q44.dqJTx_,Carlisle,Cumbria,Carlisle,,,,City England
px!R=:oD%e,Chelmsford,Essex,Chelmsford,,,,City England
b$kbvvY=uN,Chester,Cheshire,Chester,,,,City England
kF24F|UU_z,Chichester,West Sussex,Chichester,,,,City England
oAKS}0_8RB,Coventry,West Midlands (county),Coventry,,,,City England
"c!H(Z,A2B,",Derby,Derbyshire,Derby,,,,City England
d.b^]=wdVs,Durham,County Durham,Durham,,,,City England
fM*s1=2d5g,Ely,Cambridgeshire,Ely,,,,City England
oQYTDB7*60,Exeter,Devon,Exeter,,,,City England
"j[=<,3-;bT",Gloucester,Gloucestershire,Gloucester,,,,City England
m^dae?[g_.,Hereford,Herefordshire,Hereford,,,,City England
"j,E62_gWhl",Kingston upon Hull,East Riding of Yorkshire,Kingston upon Hull,,,,City England
%EM(T.SNE,Lancaster,Lancashire,Lancaster,,,,City England
uhIZGd|C[c,Leeds,West Yorkshire,Leeds,,,,City England
lBSug.)YY*,Leicester,Leicestershire,Leicester,,,,City England
j{r=*|oyVX,Lichfield,Staffordshire,Lichfield,,,,City England
c=[O1oUz90,Lincoln,Lincolnshire,Lincoln,,,,City England
"e`WcB^wq,U",Liverpool,Merseyside,Liverpool,,,,City England
sc=@GwNN|),City of London,City of London,City of London,,,,City England
oatmv>:kE6,Manchester,Greater Manchester,Manchester,,,,City England
b/y.O$W7s3,Newcastle upon Tyne,Tyne and Wear,Newcastle upon Tyne,,,,City England
1.cV9mK4j,Norwich,Norfolk,Norwich,,,,City England
jXH`S<vfQe,Nottingham,Nottinghamshire,Nottingham,,,,City England
hE}Y{%.~%P,Oxford,Oxfordshire,Oxford,,,,City England
mJ>ky;)%@I,Peterborough,Cambridgeshire,Peterborough,,,,City England
m?8kjEWn&+,Plymouth,Devon,Plymouth,,,,City England
oKAT&[DEIO,Portsmouth,Hampshire,Portsmouth,,,,City England
o{PE8KIcI[,Preston,Lancashire,Preston,,,,City England
i5;]oCb5Nk,Ripon,North Yorkshire,Ripon,,,,City England
._rR:QeNh,Salford,Greater Manchester,Salford,,,,City England
Tpi?bQ8w),Salisbury,Wiltshire,Salisbury,,,,City England
WJ>gSPh]%,Sheffield,South Yorkshire,Sheffield,,,,City England
snWqd0&R+k,Southampton,Hampshire,Southampton,,,,City England
sdW!/MgDX@,St Albans,Hertfordshire,St Albans,,,,City England
eHG7=BoD$%,Stoke-on-Trent,Staffordshire,Stoke-on-Trent,,,,City England
"dNw$kk,B2h",Sunderland,Tyne and Wear,Sunderland,,,,City England
foZlQ^/S[g,Truro,Cornwall,Truro,,,,City England
n5l~76U=Sp,Wakefield,West Yorkshire,Wakefield,,,,City England
gQ20|M)UI6,Wells,Somerset,Wells,,,,City England
c/{gw96^gB,City of Westminster,Greater London,City of Westminster,,,,City England
jpw3JC>TSS,Winchester,Hampshire,Winchester,,,,City England
k8|R-VMOKD,Wolverhampton,West Midlands (county),Wolverhampton,,,,City England
i8uGQnNUKQ,Worcester,Worcestershire,Worcester,,,,City England
c0&/n=#jY`,York,North Yorkshire,York,,,,City England
sd.X(Q9_J(,Aberdeen,Aberdeen City,Aberdeen,,,,City Scotland
bG/fX_IFjD,Dundee,Dundee City,Dundee,,,,City Scotland
u?bH;??qR[,Edinburgh,City of Edinburgh,Edinburgh,,,,City Scotland
tdAqEi=/:3,Glasgow,Glasgow City,Glasgow,,,,City Scotland
ini_L5y-*M,Inverness,Highland (council area),Inverness,,,,City Scotland
jzCIs`k)^H,Perth,Perth and Kinross,Perth,,,,City Scotland
nw7B#~z@c,Stirling,Stirling (council area),Stirling,,,,City Scotland
so+9;dlVP$,Bangor,Gwynedd,Bangor,,,,City Wales
"p,Lj6F@%M9",Cardiff,South Glamorgan,Cardiff,,,,City Wales
vGycm%0sgB,Newport,Gwent (county),Newport,,,,City Wales
e4S5G}GiYt,St Asaph,Clwyd,St Asaph,,,,City Wales
t)v}T%_oxM,St Davids,Dyfed,St Davids,,,,City Wales
bzIT|B>?~),Swansea,West Glamorgan,Swansea,,,,City Wales
qiaDqI-?16,Armagh,County Armagh,Armagh,,,,City NorthernIreland
t-].-Q1$}1,Belfast,County Antrim / County Down,Belfast,,,,City NorthernIreland
"s^Mh,VgvhW",Lisburn,County Antrim / County Down,Lisburn,,,,City NorthernIreland
h1^G2p7}~~,Newry,County Armagh / County Down,Newry,,,,City NorthernIreland
lO$s:(Y8[F,Derry,County Londonderry,Derry,,,,City NorthernIreland
